frame,timestamp,is_speech,speech_probability,is_whisper,trigger,raw_score,whisper_probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
108,2026-08-06T01:39:43.398788,False,0.00918552279472351,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2026-08-06T01:39:43.402274,False,0.012011509388685226,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2026-08-06T01:39:43.405767,False,0.007287356071174145,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2026-08-06T01:39:43.409070,False,0.009509604424238205,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2026-08-06T01:39:43.409269,False,0.009509604424238205,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2026-08-06T01:39:43.413528,False,0.01076818909496069,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2026-08-06T01:39:43.421333,False,0.0073225293308496475,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2026-08-06T01:39:43.426610,False,0.006533474195748568,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2026-08-06T01:39:43.432092,False,0.01321569923311472,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2026-08-06T01:39:43.437076,False,0.018015125766396523,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2026-08-06T01:39:43.445065,False,0.01006397232413292,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2026-08-06T01:39:43.449303,False,0.005906503647565842,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2026-08-06T01:39:43.455209,False,0.0038873411249369383,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2026-08-06T01:39:43.461346,False,0.0031466882210224867,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2026-08-06T01:39:43.468093,False,0.0038953223265707493,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2026-08-06T01:39:43.472896,False,0.0036709774285554886,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2026-08-06T01:39:43.479856,False,0.003413672558963299,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2026-08-06T01:39:43.485949,False,0.0029434675816446543,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2026-08-06T01:39:43.492948,False,0.0030317124910652637,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2026-08-06T01:39:43.497151,False,0.002575851744040847,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2026-08-06T01:39:43.497322,False,0.002575851744040847,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2026-08-06T01:39:43.503212,False,0.0030204381328076124,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2026-08-06T01:39:43.509426,False,0.0022915645968168974,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2026-08-06T01:39:43.513585,False,0.0016092131845653057,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2026-08-06T01:39:43.517091,False,0.001071544480510056,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2026-08-06T01:39:43.521013,False,0.0008642968605272472,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2026-08-06T01:39:43.529414,False,0.008504288271069527,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2026-08-06T01:39:43.535882,False,0.0026334268040955067,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2026-08-06T01:39:43.541177,False,0.0020875688642263412,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2026-08-06T01:39:43.547007,False,0.0021075946278870106,False,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
