frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
207,2026-08-06T22:48:44.540507,shadow,silero,False,0.09972723573446274,True,False,True,False,1,0.3333333333333333,0.0015128970777442787,0.11482254697286012,3.895826611207949,0.0,0.0,1493.9781198975502,0.1804821357277442,0.05203743795462345,0.012804620408985615,0.0,0.0
208,2026-08-06T22:48:44.544782,shadow,silero,False,0.09972723573446274,True,False,True,False,1,0.3333333333333333,0.0016538033506179732,0.1440501043841336,3.910635285149798,0.0,0.0,1504.7817376107084,0.2114708272994394,0.06352533761464868,0.01713968910515743,0.0,0.0
209,2026-08-06T22:48:44.555204,shadow,silero,False,0.09252109378576279,True,False,True,False,1,0.3333333333333333,0.0017875596741113845,0.11899791231732777,3.90203119625063,0.0,0.0,1498.56487051122,0.251623143254156,0.07186316377233426,0.01833983951781342,0.0,0.0
210,2026-08-06T22:48:44.565236,shadow,silero,False,0.08447038382291794,True,False,True,False,1,0.3333333333333333,0.0018270547676453859,0.1336116910229645,3.8970257912464525,0.0,0.0,1497.8850152735995,0.2619039154108626,0.07541363183722621,0.019142820969582194,0.0,0.0
211,2026-08-06T22:48:44.573469,shadow,silero,False,0.07612909376621246,True,False,True,False,1,0.3333333333333333,0.0019677225038865665,0.11482254697286012,3.896396565454756,0.0,0.0,1494.9416560029315,0.3032324470706275,0.08832775256790652,0.02184485234028742,0.0,0.0
212,2026-08-06T22:48:44.582959,shadow,silero,False,0.06684663891792297,True,False,True,False,1,0.3333333333333333,0.0020631213109988658,0.08559498956158663,3.8946150079781665,0.0,0.0,1492.8358769213974,0.3339200698020289,0.09704529842912217,0.023814600122550194,0.0,0.0
213,2026-08-06T22:48:44.590142,shadow,silero,False,0.05962719768285751,True,False,True,False,1,0.3333333333333333,0.0020607171103146768,0.1022964509394572,3.9000478569081887,0.0,0.0,1492.1219322806771,0.33227837066508015,0.09703392636883945,0.023883984003790878,0.0,0.0
214,2026-08-06T22:48:44.602039,shadow,silero,False,0.0517582930624485,True,False,True,False,1,0.3333333333333333,0.001959330561113368,0.07933194154488518,3.894167987358392,0.0,0.0,1493.6248601785176,0.3018447994449896,0.08739896491854152,0.02154197363643404,0.0,0.0
215,2026-08-06T22:48:44.612216,shadow,silero,False,0.04660758376121521,True,False,True,False,1,0.3333333333333333,0.0019480683211576645,0.09394572025052192,3.897528494622532,0.0,0.0,1494.8608604988913,0.29814937385948354,0.08668115262113721,0.021387921371687574,0.0,0.0
216,2026-08-06T22:48:44.623146,shadow,silero,False,0.04226277768611908,True,False,True,False,1,0.3333333333333333,0.0017920077914551297,0.08350730688935282,3.8860739153532515,0.0,0.0,1495.083326812375,0.25374662402512493,0.07290977141441614,0.018044063347101156,0.0,0.0
