frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
273,2026-08-07T11:58:00.544310,shadow,silero,False,0.004899157676845789,True,True,True,False,3,0.0,0.005,False,0,1,True,0.08,True,1280.0,True,True,2.6,True,0.005906521301178018,0.7241415545919372,0.2274339024304707,0.04842454297759215,0.8,True,0.008766822051256895,0.5,False,0,False,0,3,3,True,True,103,False,True,grouped_v1,False,0.00023794141461852742,0.0918580375782881,3.782557902825177,0.0,0.0,1501.017765577492,0.004277157517265442,0.0013433431893156182,0.0002860205945969584,0.0,0.0
274,2026-08-07T11:58:00.554259,shadow,silero,False,0.004077752586454153,True,True,True,False,3,0.0,0.005,False,0,2,True,0.08,True,1280.0,True,True,2.6,True,0.005448918445446275,0.6961170954980331,0.2537812822170013,0.050101622284965626,0.8,True,0.007730329409241676,0.5,False,0,False,0,3,3,True,True,104,False,True,grouped_v1,False,0.00023048363034709093,0.13569937369519833,3.8578439539869525,0.0,0.0,1517.9782329480036,0.0037930852818497188,0.001382833509781225,0.00027299965381533136,0.0,0.0
275,2026-08-07T11:58:00.561412,shadow,silero,False,0.0034264337737113237,True,True,True,False,3,0.0,0.005,False,0,3,True,0.08,True,1280.0,True,True,2.6,True,0.007738836113258208,0.7457399970358067,0.20838616431012574,0.04587383865406751,0.8,True,0.0066687713842839,0.5,False,0,False,0,3,3,True,True,105,False,True,grouped_v1,False,0.00027231525799479645,0.11691022964509394,3.8075450907084507,0.0,0.0,1482.6771954480437,0.0057711596201617706,0.00161266637386656,0.00035501011922987793,0.0,0.0
276,2026-08-07T11:58:00.567265,shadow,silero,False,0.003172254655510187,True,True,True,False,3,0.0,0.005,False,0,4,True,0.08,True,1280.0,True,True,2.6,True,0.011095275860494375,0.752269430282451,0.19889022630439768,0.048840343413151396,0.8,True,0.00593775836750865,0.5,False,0,False,0,3,3,True,True,106,False,True,grouped_v1,False,0.00032330735861005165,0.08768267223382047,3.787514392211183,0.0,0.0,1490.157782019837,0.008346636850400735,0.002206741926803447,0.0005418970832901941,0.0,0.0
277,2026-08-07T11:58:00.573374,shadow,silero,False,0.002683062106370926,True,True,True,False,3,0.0,0.005,False,0,5,True,0.08,True,1280.0,True,True,2.6,True,0.007850353076312594,0.7486676271072457,0.19996446990557637,0.051367902987178075,0.8,True,0.005418458022177219,0.5,False,0,False,0,3,3,True,True,107,False,True,grouped_v1,False,0.0002706705303732154,0.0918580375782881,3.793845913748044,0.0,0.0,1525.4502324463717,0.005877305209597016,0.0015697916914764586,0.0004032561752391203,0.0,0.0
278,2026-08-07T11:58:00.579433,shadow,silero,False,0.0025753104127943516,True,True,True,False,3,0.0,0.005,False,0,6,True,0.08,True,1280.0,True,True,2.6,True,0.009692252956012603,0.7591252774306977,0.19362144529548306,0.04725327727381927,0.8,True,0.004488455131649971,0.5,False,0,False,0,3,3,True,True,108,False,True,grouped_v1,False,0.00030249089707716807,0.0918580375782881,3.747098471423292,0.0,0.0,1482.4332806160924,0.007357634214161567,0.0018766280255125781,0.000457990716338458,0.0,0.0
279,2026-08-07T11:58:00.587830,shadow,silero,False,0.0023972131311893463,True,True,True,False,3,0.0,0.005,False,0,7,True,0.08,True,1280.0,True,True,2.6,True,0.012685411066519475,0.726910971185504,0.21768547805630173,0.05540355075819426,0.8,True,0.0037520931800827384,0.5,False,0,False,0,3,3,True,True,109,False,True,grouped_v1,False,0.00034473727011510635,0.11482254697286012,3.908859045427279,0.0,0.0,1506.6062142997068,0.00922116447825101,0.0027614297723559922,0.0007028168159124709,0.0,0.0
280,2026-08-07T11:58:00.598458,shadow,silero,False,0.0021808354649692774,True,True,True,False,3,0.0,0.005,False,0,8,True,0.08,True,1280.0,True,True,2.6,True,0.01222694030418707,0.736539852253791,0.20943374402012893,0.05402640372608002,0.8,True,0.0032993442146107554,0.5,False,0,False,0,3,3,True,True,110,False,True,grouped_v1,False,0.0003396150224387505,0.09394572025052192,3.851271952135424,0.0,0.0,1503.0209783423509,0.009005628805161868,0.002560733885816512,0.0006605776132086903,0.0,0.0
281,2026-08-07T11:58:00.607065,shadow,silero,False,0.0019323915475979447,True,True,True,False,3,0.0,0.005,False,0,9,True,0.08,True,1280.0,True,True,2.6,True,0.018504163872392534,0.733002821757085,0.21545781302974681,0.051539365213168216,0.8,True,0.0029276583809405565,0.5,False,0,False,0,3,3,True,True,111,False,True,grouped_v1,False,0.0004202575052675571,0.1022964509394572,3.8622032106774102,0.0,0.0,1492.2430820326376,0.013563604332719236,0.003986866679889746,0.0009536928597835518,0.0,0.0
282,2026-08-07T11:58:00.617250,shadow,silero,False,0.002093494636937976,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.017685815277071703,0.7439787981810251,0.20581664350765538,0.05020455831131961,0.8,True,0.0026291862595826387,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0004070179622246824,0.10438413361169102,3.8255375482498244,0.0,0.0,1497.9710923279008,0.013157871594687419,0.003640035138023312,0.0008879085443609736,0.0,0.0
