frame,timestamp,is_whisper,trigger,raw_score,probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
88,2026-07-30T18:37:03.575753,False,False,1,0.3333333333333333,0.0023281679481195914,0.21085594989561587,3.7556675936211064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2026-07-30T18:37:03.576832,False,False,1,0.3333333333333333,0.002426701655243128,0.18789144050104384,3.420870208684896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2026-07-30T18:37:03.577871,False,False,1,0.3333333333333333,0.00275835379062675,0.162839248434238,2.6743415086282885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2026-07-30T18:37:03.579391,False,False,1,0.3333333333333333,0.002301744578753135,0.17745302713987474,3.4279874679034448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2026-07-30T18:37:03.580650,False,False,1,0.3333333333333333,0.0030983859266227104,0.1732776617954071,3.1914523393580185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2026-07-30T18:37:03.582078,False,False,1,0.3333333333333333,0.002479998442676426,0.18789144050104384,3.3849587790327145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2026-07-30T18:37:03.583975,False,False,1,0.3333333333333333,0.0021710736364219867,0.25052192066805845,3.679880245250898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2026-07-30T18:37:03.585931,False,False,1,0.3333333333333333,0.0009290011694379389,0.19832985386221294,3.644194547635977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2026-07-30T18:37:03.587568,False,False,1,0.3333333333333333,0.0006037827938206486,0.20876826722338204,3.724051218057311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2026-07-30T18:37:03.589507,False,False,1,0.3333333333333333,0.0011863937664352256,0.22755741127348644,3.982891186445468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2026-07-30T18:37:03.590674,False,False,1,0.3333333333333333,0.0023801685349940883,0.22755741127348644,3.739594671174987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2026-07-30T18:37:03.591867,False,False,1,0.3333333333333333,0.00285248916692344,0.18997912317327767,3.011264768234834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2026-07-30T18:37:03.592870,False,False,1,0.3333333333333333,0.002321126356966998,0.21711899791231734,3.475341569752646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2026-07-30T18:37:03.594026,False,False,1,0.3333333333333333,0.0030956803140145153,0.1732776617954071,3.1090454807970573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2026-07-30T18:37:03.595293,False,False,1,0.3333333333333333,0.003506519421544834,0.15657620041753653,2.0752945813429413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2026-07-30T18:37:03.596447,False,False,1,0.3333333333333333,0.002865645586730062,0.16701461377870563,3.2762003183407375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2026-07-30T18:37:03.597346,False,False,1,0.3333333333333333,0.0020007115340666707,0.15866388308977036,3.4823319670569557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2026-07-30T18:37:03.598309,False,False,1,0.3333333333333333,0.0016378990453489869,0.17536534446764093,3.705144740599384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2026-07-30T18:37:03.599000,False,False,1,0.3333333333333333,0.001478066462361861,0.18997912317327767,3.5181627969533187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2026-07-30T18:37:03.599885,False,False,1,0.3333333333333333,0.0012129066370737426,0.17118997912317327,3.545548544137428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2026-07-30T18:37:03.600881,False,False,1,0.3333333333333333,0.000868157477343115,0.15031315240083507,3.708517493114448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2026-07-30T18:37:03.602067,False,False,1,0.3333333333333333,0.0006917559241672837,0.13569937369519833,3.6540713699431295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2026-07-30T18:37:03.603387,False,False,1,0.3333333333333333,0.0005480944045590824,0.13569937369519833,3.4701201789430383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2026-07-30T18:37:03.604537,False,False,1,0.3333333333333333,0.0003860523904484087,0.17118997912317327,3.933858697027754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2026-07-30T18:37:03.605434,False,False,1,0.3333333333333333,0.0005219647722748656,0.19206680584551147,3.9772715773699616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2026-07-30T18:37:03.606339,False,False,1,0.3333333333333333,0.0004949582232821469,0.17118997912317327,3.9305919306567403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2026-07-30T18:37:03.607073,False,False,1,0.3333333333333333,0.000613194052672388,0.1649269311064718,3.945792139727397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2026-07-30T18:37:03.607794,False,False,1,0.3333333333333333,0.0005615824168279654,0.11064718162839249,3.8351681101784365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2026-07-30T18:37:03.608573,False,False,1,0.3333333333333333,0.00046854093706186824,0.10020876826722339,3.826233620355364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2026-07-30T18:37:03.609317,False,False,1,0.3333333333333333,0.0005462641384064234,0.13778705636743216,3.8832324407546066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2026-07-30T18:37:03.610121,False,False,1,0.3333333333333333,0.0004920364591401478,0.12108559498956159,3.856051902213952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
